"code","description","class","row"
"POP3ch","Population aged 15 to 64 ('000) change",NA,427
"POP3ch4","Population aged 15 to 64 ('000) 4 quarter to change",NA,428
"POP4ch","Population aged 65 and over ('000)",NA,429
"IHCMratio","IHCM/Popn>15",NA,430
"FARMLev","Output","baseind",431
"FARMch","Change in output","baseind",432
"FARMch4q","year to change in output",NA,433
"FARMEmp","Employment","baseind",434
"FARMEmpch","Change in employment","baseind",435
"MINELev","Output","baseind",436
"MINEch","Change in output","baseind",437
"MINEch4q","year to change in output",NA,438
"MINEEmp","Employment","baseind",439
"MINEEmpch","Change in employment","baseind",440
"MANULev","Output","baseind",441
"MANUch","Change in output","baseind",442
"MANUch4q","year to change in output",NA,443
"MANUEmp","Employment","baseind",444
"MANUEmpch","Change in employment","baseind",445
"FOODLev","Output","baseind",446
"FOODch","Change in output","baseind",447
"FOODch4q","year to change in output",NA,448
"FOODEmp","Employment","baseind",449
"FOODEmpch","Change in employment","baseind",450
"TCOLev","Output","baseind",451
"TCOch","Change in output","baseind",452
"TCOch4q","year to change in output",NA,453
"TCOEmp","Employment","baseind",454
"TCOEmpch","Change in employment","baseind",455
"WOODLev","Output","baseind",456
"WOODch","Change in output","baseind",457
"WOODch4q","year to change in output",NA,458
"WOODEmp","Employment","baseind",459
"WOODEmpch","Change in employment","baseind",460
"PRINTLev","Output","baseind",461
"PRINTch","Change in output","baseind",462
"PRINTch4q","year to change in output",NA,463
"PRINTEmp","Employment","baseind",464
"PRINTEmpch","Change in employment","baseind",465
"PETROLLev","Output","baseind",466
"PETROLch","Change in output","baseind",467
"PETROLch4q","year to change in output",NA,468
"PETROLEmp","Employment","baseind",469
"PETROLEmpch","Change in employment","baseind",470
"NONMLev","Output","baseind",471
"NONMch","Change in output","baseind",472
"NONMch4q","year to change in output",NA,473
"NONMEmp","Employment","baseind",474
"NONMEmpch","Change in employment","baseind",475
"METALLev","Output","baseind",476
"METALch","Change in output","baseind",477
"METALch4q","year to change in output",NA,478
"METALEmp","Employment","baseind",479
"METALEmpch","Change in employment","baseind",480
"MACHLev","Output","baseind",481
"MACHch","Change in output","baseind",482
"MACHch4q","year to change in output",NA,483
"MACHEmp","Employment","baseind",484
"MACHEmpch","Change in employment","baseind",485
"UTILLev","Output","baseind",486
"UTILch","Change in output","baseind",487
"UTILch4q","year to change in output",NA,488
"UTILEmp","Employment","baseind",489
"UTILEmpch","Change in employment","baseind",490
"CONSLev","Output","baseind",491
"CONSch","Change in output","baseind",492
"CONSch4q","year to change in output",NA,493
"CONSEmp","Employment","baseind",494
"CONSEmpch","Change in employment","baseind",495
"WHOLELev","Output","baseind",496
"WHOLEch","Change in output","baseind",497
"WHOLEch4q","year to change in output",NA,498
"WHOLEEmp","Employment","baseind",499
"WHOLEEmpch","Change in employment","baseind",500
"TRANSLev","Output","baseind",501
"TRANSch","Change in output","baseind",502
"TRANSch4q","year to change in output",NA,503
"TRANSEmp","Employment","baseind",504
"TRANSEmpch","Change in employment","baseind",505
"INFOLev","Output","baseind",506
"INFOch","Change in output","baseind",507
"INFOch4q","year to change in output",NA,508
"INFOEmp","Employment","baseind",509
