"variable","documented","definition","source","source_category","clear_source"
"PcpiRent",TRUE,"Index Numbers ;  Rents ;  Australia ; (Original)","ABS 6401.0 (A2331876F)","official with identifier",TRUE
"Xsvc",TRUE,"Chain Volume Measures ;  Services credits ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535093X)","official with identifier",TRUE
"Pxsvc",TRUE,"Implicit Price Deflators ;  Services credits ; (Seasonally Adjusted, Index Numbers)","ABS 5302.0 (A3534945V)","official with identifier",TRUE
"Xmex",TRUE,"Chain Volume Measures ;  Metals (excl. non-monetary gold) ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535050X)","official with identifier",TRUE
"Xmac",TRUE,"Chain Volume Measures ;  Machinery ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535051A)","official with identifier",TRUE
"Xtrn",TRUE,"Chain Volume Measures ;  Transport equipment ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535052C)","official with identifier",TRUE
"Xotm",TRUE,"Chain Volume Measures ;  Other manufactures ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535053F)","official with identifier",TRUE
"Xonr",TRUE,"Chain Volume Measures ;  Other non-rural (incl. sugar and beverages) ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535054J)","official with identifier",TRUE
"Xgpr",TRUE,"Chain Volume Measures ;  Goods procured in ports by carriers ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535058T)","official with identifier",TRUE
"R10y",TRUE,"Australian Government 10 year bond (Per cent per annum)","RBA (FCMYGBAG10)","official with identifier",TRUE
"R90d",TRUE,"3-month BABs/NCDs (Percent)","RBA (FIRMMBAB90)","official with identifier",TRUE
"Rusd",TRUE,"A$1=USD","RBA (FXRUSD)","official with identifier",TRUE
"RtwiNom",TRUE,"Trade-weighted Index May 1970 = 100 (Index Numbers)","RBA (FXRTWI)","official with identifier",TRUE
"R10yReal",TRUE,"Australian Government Indexed Bond (Per cent per annum)","RBA (FCMYGBAGI)","official with identifier",TRUE
