equation,term,estimate,std_error
Ynli,pe3,0.2411812741517842,0.21153154430095267
Ynli,l_r,0.7106663900294214,0.06767582948053863
EqEarn,c1,-1.0934691164096348,0.29352544013511717
EqEarn,c2,-0.3125273458028747,0.0774243384310744
EqEarn,c3,0.5242268501671417,0.19496962866709391
EqEarn,c4,-1.377598858056834,0.43673273795731377
EqEarn,c5,-0.009152082109021418,0.0014744225693984374
EqEarn,c7,0.06741709196596231,0.09743627247524447
EqEarn,c8,-0.7629399478513419,0.2887833497403368
EqEarn,c9,0.22150948834925563,0.339678544565515
EqEarn,c10,0.15497558229920708,0.3505059745243087
EqEarn,c11,0.06339593865675629,0.36888122752953145
EqEarn,c12,0.49046186928880503,0.35484827486379894
EqEarn,c13,0.5752402050275511,0.3524480928007423
Tgst,c1,-0.17087672802314866,0.12022687209853469
Tgst,c2,-0.07557086479564132,0.04544976322159649
Tgst,c3,0.047761749536656316,0.021649421405889293
Tgst,c4,-0.0025747941768777907,0.0012956703597071868
Tgst,c5,0.7209558287682102,0.08117139414264518
Tgst,c6,-0.08347461069081873,0.07892001548599384
Tgst,c7,-0.1228288411437405,0.07963828742192978
Tgst,c8,-0.1816516419529862,0.07820690540404314
Tgst,c9,-0.1711409273295293,0.07670733405601589
Xoth,c1,-0.1424409868480679,0.06150335736530698
Xoth,c2,-0.047656823466310894,0.016991116497049864
Xoth,c3,-0.13530891476744084,0.7771971416187625
Xoth,c4,0.7006851472206332,0.43513777790397634
Xoth,c5,-0.006302490651686635,0.003239486742933879
Xoth,c6,-0.12320865931890986,0.07370519596218618
Xoth,c7,0.9518208654902129,0.27955630890680533
Pxmin,c1,-0.05444095217499358,0.020680822360068466
Pxmin,c2,-0.07863319770148436,0.026195333610250907
Pxmin,c3,0.41228992191496255,0.06246451147790385
Pxmin,c4,-1.1047048399866988,0.13185850153583878
Pxoth,c1,-0.3172727970496237,0.11021197894115675
Pxoth,c2,-0.14835727135011617,0.04353590735277346
Pxoth,c3,0.44288439332473967,0.1426401594915089
Pxoth,c4,0.0012818935802402255,4.3688449029075034e-4
Pxoth,c5,0.5104406039207211,0.13539796549795102
Pxoth,c6,0.715400739526584,0.07838892857488976
PconsExrent,c1,-0.22242984153243506,0.062436252148693965
