variable,in_estimation,in_forecast_equations,in_identities,exogenous_contract,in_data_preparation,usage
IotcNom,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Cgov,FALSE,FALSE,TRUE,TRUE,TRUE,exogenous scenario input
CgovNom,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Ygoa,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
Lsup,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Lpop,FALSE,FALSE,TRUE,TRUE,FALSE,exogenous scenario input
IvtNonfarm,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Tcit,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Ytsf,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
Ygdw,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
LempPub,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
LempEdu,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
LempHlt,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
BizLns,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
BizBnd,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
Ygmi,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
YprpR,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
YprpP,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
Lemp,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
LhrsAll,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
LhrsPub,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
LhrsEdu,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
LhrsHlt,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
Igov,FALSE,FALSE,TRUE,TRUE,TRUE,exogenous scenario input
Ipubent,FALSE,FALSE,TRUE,TRUE,TRUE,exogenous scenario input
Pgne,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
Phouse,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
IvtFar,FALSE,FALSE,TRUE,TRUE,TRUE,exogenous scenario input
Fpcpi,TRUE,TRUE,TRUE,TRUE,TRUE,exogenous scenario input
Fpoil,TRUE,TRUE,FALSE,TRUE,TRUE,exogenous scenario input
Fpcom,TRUE,TRUE,FALSE,TRUE,TRUE,exogenous scenario input
Fpagr,TRUE,TRUE,FALSE,TRUE,TRUE,exogenous scenario input
Fr10yUs,FALSE,FALSE,TRUE,TRUE,TRUE,exogenous scenario input
Fr10yJp,FALSE,FALSE,TRUE,TRUE,TRUE,exogenous scenario input
Fr10yDe,FALSE,FALSE,TRUE,TRUE,TRUE,exogenous scenario input
Fr10yUk,FALSE,FALSE,TRUE,TRUE,TRUE,exogenous scenario input
FcGdp,TRUE,TRUE,FALSE,TRUE,TRUE,exogenous scenario input
FcPpp,TRUE,TRUE,FALSE,TRUE,TRUE,exogenous scenario input
KTotal,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
PeRatio,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
EqEarn,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
