date,variable,actual,simulated
2017-03-01,Ppcd,0.8173231631011263,0.8393931525139772
2017-06-01,Ppcd,0.8210017973888483,0.844943669128106
2017-09-01,Ppcd,0.8217873570169961,0.8493464308400336
2017-12-01,Ppcd,0.8262343380710331,0.8547733974331899
2018-03-01,Ppcd,0.8300256318722844,0.859748819389126
2018-06-01,Ppcd,0.832864782667033,0.8643854650294909
2018-09-01,Ppcd,0.8372687924418771,0.8700231818380746
2018-12-01,Ppcd,0.8414388562448104,0.875040929871482
2019-03-01,Ppcd,0.8432044482626352,0.8803604408394978
2019-06-01,Ppcd,0.8487988799448821,0.8859956046710762
2019-09-01,Ppcd,0.8519951127176961,0.8917533789117192
2019-12-01,Ppcd,0.8559790496623967,0.8973387146717398
2020-03-01,Ppcd,0.8591080456241666,0.9029075352974573
2020-06-01,Ppcd,0.8573789656145443,0.9045355986671041
2020-09-01,Ppcd,0.859858250714366,0.9145740026584216
2020-12-01,Ppcd,0.8648156829042801,0.9156836585853331
2021-03-01,Ppcd,0.8696228407125368,0.9218122462477873
2021-06-01,Ppcd,0.878226426361563,0.927234579257339
2021-09-01,Ppcd,0.879852402951941,0.9341944267043611
2021-12-01,Ppcd,0.8883506697644709,0.940934076476227
2022-03-01,Ppcd,0.8989892197705801,0.9498215717935513
2022-06-01,Ppcd,0.9154382219236905,0.9587449514078861
2022-09-01,Ppcd,0.9346278797228939,0.9679813070778386
2022-12-01,Ppcd,0.9517438170020688,0.9774286771871874
2023-03-01,Ppcd,0.9596767134479036,0.9869212213142065
2023-06-01,Ppcd,0.9718883552828451,0.9966133325871124
2023-09-01,Ppcd,0.9861364019803478,1.006311698010681
2023-12-01,Ppcd,0.9955338450802512,1.0153482674577692
2024-03-01,Ppcd,1.0042758887864167,1.0247795326034257
2024-06-01,Ppcd,1.014772710795331,1.0339150697926072
2024-09-01,Ppcd,1.0229760852875993,1.0439112986097234
2024-12-01,Ppcd,1.031416973744818,1.0525959309653434
2010-03-01,PhouseSa,429.459776791945,423.20307562521253
2010-06-01,PhouseSa,433.939338425632,418.06514652489363
2010-09-01,PhouseSa,432.704486531904,411.69139956522986
2010-12-01,PhouseSa,435.24465737434,408.04870279896346
2011-03-01,PhouseSa,433.734749836038,408.52060508601096
2011-06-01,PhouseSa,428.203959166515,411.77102098632116
2011-09-01,PhouseSa,424.4042517428,420.7715558313524
2011-12-01,PhouseSa,411.683119457578,427.981323837831
2012-03-01,PhouseSa,431.15233354768,433.7034927159626
2012-06-01,PhouseSa,426.714162976363,443.28366779954075
2012-09-01,PhouseSa,425.47466072201,447.97670517543935
2012-12-01,PhouseSa,438.238893584081,454.42690218070805
2013-03-01,PhouseSa,445.886963483918,458.41833829138693
2013-06-01,PhouseSa,445.401521067099,464.8168224981742
2013-09-01,PhouseSa,461.228981575357,480.57148598201474
2013-12-01,PhouseSa,475.736775092891,482.5635206961566
2014-03-01,PhouseSa,471.86739345801,482.1941020353451
2014-06-01,PhouseSa,477.275839021922,483.7789651951
2014-09-01,PhouseSa,480.58709875226,487.62073992580576
2014-12-01,PhouseSa,498.759588204871,487.7285896844598
2015-03-01,PhouseSa,499.8290554419,490.19473644256345
2015-06-01,PhouseSa,512.172927578937,494.8585903514037
2015-09-01,PhouseSa,528.687134746026,498.7399897989
2015-12-01,PhouseSa,520.749803281925,505.2244817397589
2016-03-01,PhouseSa,511.55579795075,511.77806534155116
2016-06-01,PhouseSa,520.311191844845,519.1442687653131
2016-09-01,PhouseSa,528.523584351526,523.744365914179
2016-12-01,PhouseSa,545.232935443462,530.4069232183216
2017-03-01,PhouseSa,545.728307764769,535.7781849014333
2017-06-01,PhouseSa,571.482908316136,542.7288523991489
2017-09-01,PhouseSa,558.171626918692,548.6567913408683
2017-12-01,PhouseSa,564.113668947962,559.9060241609834
2018-03-01,PhouseSa,560.793344720869,568.0427426706622
2018-06-01,PhouseSa,560.284125824409,576.8292055400576
2018-09-01,PhouseSa,553.602568628649,587.6538311897428
2018-12-01,PhouseSa,540.60724106162,594.3482941123607
2019-03-01,PhouseSa,538.219897953417,601.4006773034496
2019-06-01,PhouseSa,544.451253064904,608.6397947470005
2019-09-01,PhouseSa,559.15811277944,614.7433775364134
2019-12-01,PhouseSa,578.691029332405,620.605736483871
2020-03-01,PhouseSa,570.457694174469,627.9497784472727
2020-06-01,PhouseSa,559.819253834208,624.230495602657
2020-09-01,PhouseSa,567.172644489531,649.607602078755
2020-12-01,PhouseSa,589.469738368391,641.7791786670628
