equation,term,estimate,std_error
Pgc,c2,-0.07924841510021799,0.024283120862923214
Pgc,c3,1.1296881427381165,0.040671984190033816
Pgc,c4,0.16077867308745455,0.04783824068393763
Pgc,c5,-0.3132032695350176,0.07291062156791046
Pidw,c1,-0.1176870196079906,0.07261782432977419
Pidw,c2,-0.03094987815145916,0.015070106838652028
Pidw,c3,0.6339410184810554,0.17569737844141592
Pidw,c4,0.004801769349747227,0.0011215447954142654
Pidw,c5,0.06473926574390651,0.004405199209171341
Pidw,c6,0.804722023138052,0.054486465637994815
Pidw,c7,-0.07470387137344006,0.005579220521577025
Pxsvc,c1,0.006338143644746318,0.002603713845798651
Pxsvc,c2,-0.03628046359243545,0.013091285255409306
Pxsvc,c4,0.0029346619479726855,4.294931051089622e-4
Pxsvc,c5,0.05214843067783505,0.023674679931856464
Pxsvc,c6,0.03540113170663367,0.024548773584863133
